product;coord_x;coord_y;label
Celular Desbloqueado Samsung Galaxy Y Duos S6102 Branco com Dual Chip. Android 2.3. Wi-Fi. 3G. GPS. Câmera 3MP. MP3. Touch. Fone e Cartão 2GB -Tim;-4.05423E+015;9.09375E+015;Celular
Smartphone Xperia ARC Android 2.3. C;-4687920000000000;1575580000000000;Celular
Smartphone Samsung Galaxy S Duos S7562 BRANCO Dual Chip Desbloqueado. C;-4.85832E+016;9.3911E+015;Celular
Multilaser Touch P3160 GSM Desbloqueado;-3.60979E+015;2.08849E+015;Celular
Celular Desbloqueado LG KP570 Cookie c/ C;-3.51372E+016;143201000000000;Celular
Celular Motorola EX139 c/ Dual Chip. TV Digital. Touch Screen. C;-6.09259E+016;2.20593E+016;Celular
Celular Desbloqueado ZTE N721 Preto com C;-3.19777E+016;1.43313E+016;Celular
Celular Desbloqueado Freecel Free Duo TV P;-2228160000000000;2.8082E+016;Celular
CELULAR NOKIA 2690 BLUE/AZUL NOKIA 2690 AZUL - GSM C/ C;-4047910000000000;2489800000000000;Celular
A00004421 : Celular Nokia Asha 201 Grafite - GSM;-3278870000000000;3319190000000000;Celular
Celular Dual Chip ZTE G R236 Palmeiras - C;-2.40818E+016;2.56508E+016;Celular
Celular Asha 205 Dual Chip. C;-2.92071E+016;2.64315E+016;Celular
Nokia C3 Rosa com Teclado QWERTY. Wi-fi. C;-3.21007E+016;2.45784E+016;Celular
Samsung GSM Galaxy Pocket Neo Duos S5312 Prata Desbloqueado. Android 4.1. Dual Chip. Câmera 2 Mpx;-454742000000000;941481000000000;Celular
Samsung Galaxy 5 Preto - GSM - Desbloqueado TIM c/ Sistema Operacional Android 2.1. Tecnologia 3G. Wi-Fi. GPS. C;-4.23516E+015;1.18553E+016;Celular
Celular Samsung Chat S3350 Desbloqueado C;-3.07711E+016;1.5279E+016;Celular
Celular Desbloqueado WX294 - Dual Chip. C;-2.88878E+016;2.29686E+016;Celular
Celular Navcity NP-324 GSM Quadriband. Dual SIM. Multimidia com MP3. MP4. Vibracall. R;-2.29461E+016;1.13991E+016;Celular
Smartphone Nokia C5-03 Cinza/ Prata Desbloqueado com C;-4881210000000000;2793890000000000;Celular
Celular SAMSUNG Ref. C3752;-2.40872E+016;1.58999E+016;Celular
Smartphone Desbloqueado Windows Phone 3G Omnia W i677 Preto SAMSUNG;-5037830000000000;2071870000000000;Celular
Nextel Motorola i867. Branco. Android. Tela Touch 3.1. C;-5305110000000000;2.4389E+016;Celular
Celular Samsung Rex70 S3802 Duos Gf. Dual Chip. Câmera 2.0 MP. Wi-Fi. MP3 Player. Rádio FM. Bluetooth e os Aplicativos para Facebook. Twitter e ChatON;-2.84726E+015;1.04103E+016;Celular
Blackberry 9800 - GSM c/ Tecnologia 3G. Wi-Fi. TouchScreen. Teclado QWERTY. GPS. C;-4.30204E+016;248150000000000;Celular
Smartphone Motorola A953 Milestone 2 Desbloqueado. C;-5382830000000000;1.93172E+016;Celular
Nextel Motorola i897 Vermelho Ferrari. GPS. C;-5579880000000000;2.59779E+016;Celular
Celular Nokia C3 Grafite desbloqueado Claro - C;-3.21732E+016;3226930000000000;Celular
